01122990201,"Maíz, en mazorca, seco, para consumo humano, n.c.p.",011229902,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01122990202,"Maíz, en mazorca, seco, para producción de alimento para animales, n.c.p.",011229902,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0113,Arroz,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01131,"Arroz, para siembra (semillas)",0113,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0113100,"Arroz, para siembra (semillas)",01131,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011310000,"Arroz, para siembra (semillas)",0113100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01131000000,"Arroz, para siembra (semillas)",011310000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01132,"Arroz con cáscara (no descascarillado), excepto para siembra",0113,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0113200,"Arroz con cáscara (no descascarillado), excepto para siembra",01132,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011320000,"Arroz con cáscara (no descascarillado), excepto para siembra",0113200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01132000000,"Arroz con cáscara (no descascarillado), excepto para siembra",011320000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0114,Sorgo,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01141,"Sorgo, para siembra (semillas)",0114,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0114100,"Sorgo, para siembra (semillas)",01141,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011410000,"Sorgo, para siembra (semillas)",0114100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01141000000,"Sorgo, para siembra (semillas)",011410000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01142,"Sorgo, excepto para siembra",0114,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0114200,"Sorgo, excepto para siembra",01142,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011420000,"Sorgo, excepto para siembra",0114200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01142000001,"Sorgo, para producción de alimento para animales",011420000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01142000099,"Sorgo, n.c.p.",011420000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0115,Cebada,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01151,"Cebada, para siembra (semillas)",0115,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0115100,"Cebada, para siembra (semillas)",01151,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011510000,"Cebada, para siembra (semillas)",0115100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01151000000,"Cebada, para siembra (semillas)",011510000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01152,"Cebada, excepto para siembra",0115,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0115200,"Cebada, excepto para siembra",01152,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011520000,"Cebada, excepto para siembra",0115200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01152000000,"Cebada, excepto para siembra",011520000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0116,Centeno,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01161,"Centeno, para siembra (semillas)",0116,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0116100,"Centeno, para siembra (semillas)",01161,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011610000,"Centeno, para siembra (semillas)",0116100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01161000000,"Centeno, para siembra (semillas)",011610000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01162,"Centeno, excepto para siembra",0116,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0116200,"Centeno, excepto para siembra",01162,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011620000,"Centeno, excepto para siembra",0116200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01162000000,"Centeno, excepto para siembra",011620000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0117,Avena,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01171,"Avena, para siembra (semillas)",0117,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0117100,"Avena, para siembra (semillas)",01171,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011710000,"Avena, para siembra (semillas)",0117100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01171000000,"Avena, para siembra (semillas)",011710000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01172,"Avena, excepto para siembra",0117,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0117200,"Avena, excepto para siembra",01172,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011720000,"Avena, excepto para siembra",0117200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01172000000,"Avena, excepto para siembra",011720000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0118,Mijo,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01181,"Mijo, para siembra (semillas)",0118,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0118100,"Mijo, para siembra (semillas)",01181,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011810000,"Mijo, para siembra (semillas)",0118100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01181000000,"Mijo, para siembra (semillas)",011810000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01182,"Mijo, excepto para siembra",0118,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0118200,"Mijo, excepto para siembra",01182,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011820000,"Mijo, excepto para siembra",0118200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01182000000,"Mijo, excepto para siembra",011820000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119,Otros cereales,011,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01191,Triticale (híbrido entre trigo y centeno),0119,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119100,Triticale (híbrido entre trigo y centeno),01191,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011910000,Triticale (híbrido entre trigo y centeno),0119100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01191000001,"Triticale, para siembra (semillas)",011910000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01191000099,"Triticale, excepto para siembra",011910000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01192,Trigo negro o sarraceno (alforfón),0119,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119200,Trigo negro o sarraceno (alforfón),01192,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011920000,Trigo negro o sarraceno (alforfón),0119200,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01192000001,"Trigo negro o sarraceno (alforfón), para siembra (semillas)",011920000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01192000099,"Trigo negro o sarraceno (alforfón), excepto para siembra",011920000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01193,Mijo fonio (cereal africano),0119,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119300,Mijo fonio (cereal africano),01193,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011930000,Mijo fonio (cereal africano),0119300,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01193000001,"Mijo fonio (cereal africano), para siembra (semillas)",011930000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01193000099,"Mijo fonio (cereal africano), excepto para siembra",011930000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01194,Quinoa,0119,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119400,Quinoa,01194,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011940000,Quinoa,0119400,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01194000001,"Quinoa, para siembra",011940000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01194000099,"Quinoa, excepto para siembra",011940000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01195,Alpiste,0119,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119500,Alpiste,01195,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011950000,Alpiste,0119500,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01195000001,"Alpiste, para siembra",011950000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01195000099,"Alpiste, excepto para siembra",011950000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01199,"Cereales, n.c.p.",0119,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0119900,"Cereales, n.c.p.",01199,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
011990000,"Cereales, n.c.p.",0119900,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01199000001,"Cereales, para siembra, n.c.p.",011990000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01199000099,"Cereales, excepto para siembra, n.c.p.",011990000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012,Vegetales,01,2,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121,Vegetales de hoja o tallo,012,3,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01211,"Espárragos, frescos o refrigerados",0121,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121100,"Espárragos, frescos o refrigerados",01211,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012110000,"Espárragos, frescos o refrigerados",0121100,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01211000000,"Espárragos, frescos o refrigerados",012110000,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212,"Repollos y colinabos, frescos o refrigerados",0121,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121201,"Col o colinabo, fresco o refrigerado",01212,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012120101,"Col o colinabo orgánico, fresco o refrigerado",0121201,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212010100,"Col o colinabo orgánico, fresco o refrigerado",012120101,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012120102,"Col o colinabo (excepto orgánico), fresco o refrigerado",0121201,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212010201,"Col china, fresca o refrigerada",012120102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212010202,"Col forrajera (berza), fresca o refrigerada",012120102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212010203,"Col de Bruselas, fresca o refrigerada",012120102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212010204,"Colinabo, fresco o refrigerado",012120102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212010205,"Col crespa (Kale), fresca o refrigerada",012120102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121202,"Repollos, frescos o refrigerados",01212,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012120201,"Repollo orgánico, frescos o refrigerados",0121202,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212020101,"Repollo blanco orgánico, fresco o refrigerado",012120201,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212020199,"Repollo orgánico, fresco o refrigerado, n.c.p.",012120201,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012120202,"Repollo (excepto orgánico), frescos o refrigerados",0121202,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212020201,"Repollo blanco, fresco o refrigerado",012120202,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212020202,"Repollo morado, fresco o refrigerado",012120202,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01212020299,"Repollo, fresco o refrigerado, n.c.p.",012120202,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213,"Coliflores y brócolis, frescas o refrigeradas",0121,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121301,"Brócoli, fresco o refrigerado",01213,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012130101,"Brócoli orgánico, fresco o refrigerado",0121301,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213010101,"Brócoli chino orgánico, fresco o refrigerado",012130101,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213010199,"Brócoli orgánico, fresco o refrigerado, n.c.p.",012130101,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012130102,"Brócoli (excepto orgánico), fresco o refrigerado",0121301,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213010201,"Brócoli chino, fresco o refrigerado",012130102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213010299,"Brócoli, fresco o refrigerado, n.c.p.",012130102,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121302,"Coliflor, frescas o refrigeradas",01213,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012130201,"Coliflor orgánica, fresca o refrigerada",0121302,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213020100,"Coliflor orgánica, fresca o refrigerada",012130201,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
012130202,"Coliflor (excepto orgánico), frescas o refrigeradas",0121302,6,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01213020200,"Coliflor (excepto orgánico), frescas o refrigeradas",012130202,7,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
01214,"Lechugas y achicorias, frescas o refrigeradas",0121,4,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
0121401,"Achicoria, fresca o refrigerada",01214,5,2026-03-05 17:22:46.361611,2026-03-05 17:22:46.361611
